pickup_date,vendor_id,passenger_count,trip_distance,payment_type,fare_amount,tip_amount
2013-01-01,CMT,1,9.59999942779541,CSH,32.0,0.0
2013-01-01,CMT,1,2.3999998569488525,CSH,11.0,0.0
2013-01-01,CMT,2,8.800000190734863,CSH,26.0,0.0
2013-01-01,CMT,3,1.600000023841858,CRD,9.5,2.0999999046325684
2013-01-01,CMT,1,5.400000095367432,CSH,16.5,0.0
2013-01-01,CMT,1,5.799999713897705,CSH,20.0,0.0
2013-01-01,CMT,1,3.5,CRD,15.0,3.200000047683716
2013-01-01,CMT,2,2.3999998569488525,CSH,10.5,0.0
2013-01-01,CMT,2,4.099999904632568,CSH,14.0,0.0
2013-01-01,CMT,1,1.7000000476837158,CRD,8.0,2.0
2013-01-01,CMT,3,0.8999999761581421,CSH,6.0,0.0
2013-01-01,CMT,1,4.900000095367432,CSH,16.0,0.0
2013-01-01,CMT,1,1.399999976158142,CRD,7.5,2.119999885559082
2013-01-01,CMT,1,0.8999999761581421,NOC,6.5,0.0
2013-01-01,CMT,1,0.699999988079071,CSH,6.0,0.0
2013-01-01,CMT,1,1.399999976158142,CSH,7.5,0.0
2013-01-01,CMT,1,0.800000011920929,CSH,9.5,0.0
2013-01-01,CMT,1,2.3999998569488525,CSH,10.5,0.0
2013-01-01,CMT,1,2.299999952316284,CSH,9.5,0.0
2013-01-01,CMT,1,0.699999988079071,CSH,5.0,0.0
2013-01-01,CMT,1,1.2000000476837158,CRD,5.5,1.2999999523162842
2013-01-01,CMT,2,1.2000000476837158,CSH,6.5,0.0
2013-01-01,CMT,1,0.8999999761581421,CSH,5.5,0.0
2013-01-01,CMT,1,6.0,CSH,19.5,0.0
2013-01-01,CMT,1,1.5,CRD,8.0,1.7999999523162842
2013-01-01,CMT,2,2.8999998569488525,CSH,12.5,0.0
2013-01-01,CMT,1,9.09999942779541,CSH,29.5,0.0
2013-01-01,CMT,1,2.0999999046325684,CRD,9.0,1.0
2013-01-01,CMT,1,1.899999976158142,CSH,9.0,0.0
2013-01-01,CMT,1,3.0,CRD,12.5,1.5
2013-01-01,CMT,1,3.700000047683716,CSH,15.5,0.0
2013-01-01,CMT,3,8.59999942779541,CSH,27.0,0.0
2013-01-01,CMT,2,12.199999809265137,CSH,35.5,0.0
2013-01-01,CMT,1,5.900000095367432,CSH,18.5,0.0
2013-01-01,CMT,1,0.4000000059604645,CSH,6.0,0.0
2013-01-01,CMT,2,0.4000000059604645,CSH,4.5,0.0
2013-01-01,CMT,1,1.100000023841858,CRD,6.5,1.5
2013-01-01,CMT,2,2.3999998569488525,CRD,17.0,2.0
2013-01-01,CMT,1,1.0,CSH,5.5,0.0
2013-01-01,CMT,1,1.7999999523162842,CSH,8.0,0.0
2013-01-01,CMT,1,9.300000190734863,CSH,28.0,0.0
2013-01-01,CMT,2,0.5999999642372131,CSH,4.5,0.0
2013-01-01,CMT,1,0.0,NOC,2.5,0.0
2013-01-01,CMT,2,0.8999999761581421,CSH,5.0,0.0
2013-01-01,CMT,1,5.699999809265137,CSH,21.0,0.0
2013-01-01,CMT,2,8.699999809265137,CRD,26.0,6.460000038146973
2013-01-01,CMT,1,4.299999713897705,CSH,14.0,0.0
2013-01-01,CMT,1,1.100000023841858,CRD,10.0,2.200000047683716
2013-01-01,CMT,1,15.100000381469727,CSH,41.0,0.0
2013-01-01,CMT,1,3.5999999046325684,CSH,12.0,0.0
2013-01-01,CMT,1,1.899999976158142,CRD,13.0,2.799999952316284
2013-01-01,CMT,2,1.7000000476837158,CSH,7.0,0.0
2013-01-01,CMT,1,0.5,CSH,5.5,0.0
2013-01-01,CMT,1,2.200000047683716,CSH,12.5,0.0
2013-01-01,CMT,4,1.2000000476837158,CSH,6.5,0.0
2013-01-01,CMT,2,7.799999713897705,CRD,24.5,7.650000095367432
2013-01-01,CMT,3,2.200000047683716,CRD,10.0,2.200000047683716
2013-01-01,CMT,1,0.5,CSH,3.5,0.0
2013-01-01,CMT,1,1.2999999523162842,CSH,8.0,0.0
2013-01-01,CMT,1,0.0,CSH,2.5,0.0
2013-01-01,CMT,3,7.400000095367432,CRD,23.5,4.900000095367432
2013-01-01,CMT,2,4.599999904632568,CSH,17.5,0.0
2013-01-01,CMT,1,7.199999809265137,CRD,25.0,1.5
2013-01-01,CMT,1,3.5,CRD,16.0,3.4000000953674316
2013-01-01,CMT,1,2.0999999046325684,CSH,13.5,0.0
2013-01-01,CMT,1,3.5,CSH,12.5,0.0
2013-01-01,CMT,1,1.2000000476837158,CRD,7.5,1.7000000476837158
2013-01-01,CMT,1,1.7999999523162842,CSH,8.0,0.0
2013-01-01,CMT,1,6.900000095367432,CSH,23.0,0.0
2013-01-01,CMT,2,2.5,CRD,10.5,2.299999952316284
2013-01-01,CMT,3,0.5999999642372131,CSH,4.5,0.0
2013-01-01,CMT,2,3.8999998569488525,CRD,14.0,10.0
2013-01-01,CMT,1,1.899999976158142,CRD,10.0,2.75
2013-01-01,CMT,1,3.3999998569488525,CSH,19.5,0.0
2013-01-01,CMT,1,2.0999999046325684,CSH,9.5,0.0
2013-01-01,CMT,1,0.800000011920929,CSH,5.5,0.0
2013-01-01,CMT,1,0.8999999761581421,CSH,5.5,0.0
2013-01-01,CMT,1,0.4000000059604645,NOC,3.5,0.0
2013-01-01,CMT,1,2.299999952316284,CRD,8.5,2.369999885559082
