pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2
2015-01-01,0,1,2015-01-01 00:01:07,2015-01-01 00:11:34,1,0.800000011920929,-73.99666595458984,40.75786590576172,1,N,-73.98851013183594,40.76474380493164,2,7.5,0.5,0.5,0.0,0.0,0.0,8.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:09,2015-01-01 00:03:43,1,0.800000011920929,-73.98069763183594,40.780006408691406,1,N,-73.97330474853516,40.79022216796875,2,4.5,0.5,0.5,0.0,0.0,0.0,5.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:09,2015-01-01 00:01:09,2,0.0,-73.95342254638672,40.77166748046875,1,N,0.0,0.0,2,5.0,0.5,0.5,0.0,0.0,0.0,6.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:10,2015-01-01 00:06:16,3,1.0,-73.98157501220703,40.76826858520508,1,N,-73.99415588378906,40.76975631713867,1,5.199999809265137,0.5,0.5,1.2999999523162842,0.0,0.0,7.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:10,2015-01-01 00:03:40,1,0.699999988079071,-73.9521484375,40.77725601196289,1,N,-73.95636749267578,40.767940521240234,1,4.5,0.5,0.5,1.149999976158142,0.0,0.0,6.950000286102295,0,0,,
2015-01-01,0,1,2015-01-01 00:01:11,2015-01-01 00:04:53,2,0.8999999761581421,-73.9718017578125,40.79450225830078,1,N,-73.9623794555664,40.80075454711914,2,5.0,0.5,0.5,0.0,0.0,0.0,6.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:12,2015-01-01 00:14:16,1,4.400000095367432,-73.99417114257812,40.761356353759766,1,N,-73.94795989990234,40.80125427246094,2,14.5,0.5,0.5,0.0,0.0,0.0,15.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:13,2015-01-01 00:20:27,1,7.300000190734863,-73.98146057128906,40.76825714111328,1,N,-74.00763702392578,40.7066764831543,1,23.700000762939453,0.5,0.5,5.0,0.0,0.0,30.0,0,0,,
2015-01-01,0,1,2015-01-01 00:01:19,2015-01-01 00:13:28,1,2.0,-73.99951171875,40.72842025756836,1,N,-73.97689056396484,40.741905212402344,1,10.0,0.5,0.5,0.07999999821186066,0.0,0.0,11.380000114440918,0,0,,
2015-01-01,0,1,2015-01-01 00:01:19,2015-01-01 00:08:09,1,0.699999988079071,-73.99986267089844,40.73289108276367,1,N,-73.98788452148438,40.7285270690918,2,6.0,0.5,0.5,0.0,0.0,0.0,7.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:20,2015-01-01 00:12:12,1,5.0,-74.00757598876953,40.707828521728516,1,N,-73.97675323486328,40.7515983581543,1,15.699999809265137,0.5,0.5,3.4000000953674316,0.0,0.0,20.399999618530273,0,0,,
2015-01-01,0,1,2015-01-01 00:01:21,2015-01-01 00:05:19,1,0.800000011920929,-73.96286010742188,40.799293518066406,1,N,-73.95600128173828,40.80043411254883,3,5.0,0.5,0.5,0.0,0.0,0.0,6.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:21,2015-01-01 00:31:46,2,20.600000381469727,-73.9656982421875,40.76292037963867,1,N,-73.73653411865234,40.6148567199707,1,55.0,0.5,0.5,4.0,5.329999923706055,0.0,65.62999725341797,0,0,,
2015-01-01,0,1,2015-01-01 00:01:21,2015-01-01 00:06:22,1,1.0,-74.00354766845703,40.73868179321289,1,Y,-74.00235748291016,40.75029754638672,1,5.699999809265137,0.5,0.5,1.399999976158142,0.0,0.0,8.399999618530273,0,0,,
2015-01-01,0,1,2015-01-01 00:01:23,2015-01-01 00:07:25,1,1.2000000476837158,-73.9671630859375,40.78848648071289,1,N,-73.96883392333984,40.801761627197266,2,6.5,0.5,0.5,0.0,0.0,0.0,7.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:23,2015-01-01 00:30:19,1,20.700000762939453,-73.8746109008789,40.7741813659668,1,N,-73.91151428222656,40.62666702270508,2,55.5,0.5,0.5,0.0,0.0,0.0,56.79999923706055,0,0,,
2015-01-01,0,1,2015-01-01 00:01:24,2015-01-01 00:03:53,2,0.5,-74.0068359375,40.73301696777344,1,N,-74.00625610351562,40.739654541015625,1,4.0,0.5,0.5,2.0,0.0,0.0,7.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:24,2015-01-01 00:08:36,1,2.4000000953674316,-73.96240997314453,40.76058578491211,1,N,-73.97917175292969,40.7403564453125,1,9.0,0.5,0.5,2.049999952316284,0.0,0.0,12.350000381469727,0,0,,
2015-01-01,0,1,2015-01-01 00:01:25,2015-01-01 00:13:10,1,3.200000047683716,-73.98326110839844,40.755859375,1,N,-73.94517517089844,40.778621673583984,1,12.5,0.5,0.5,1.0,0.0,0.0,14.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:27,2015-01-01 00:05:56,1,0.4000000059604645,-73.9764633178711,40.75082015991211,5,N,-73.9761962890625,40.75095748901367,3,54.0,0,0.0,0.0,0.0,0.0,54.29999923706055,0,0,,
2015-01-01,0,1,2015-01-01 00:01:32,2015-01-01 00:23:15,1,0.6000000238418579,-73.9881591796875,40.764671325683594,1,N,-73.99324035644531,40.75747299194336,2,13.0,0.5,0.5,0.0,0.0,0.0,14.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:32,2015-01-01 00:06:24,1,2.0,-73.97933959960938,40.78174591064453,1,N,-73.96737670898438,40.80598449707031,2,7.5,0.5,0.5,0.0,0.0,0.0,8.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:33,2015-01-01 00:06:41,1,1.2999999523162842,-73.92520141601562,40.83845138549805,1,N,-73.92139434814453,40.84843444824219,2,6.0,0.5,0.5,0.0,0.0,0.0,7.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:35,2015-01-01 00:21:21,1,2.5,-74.00403594970703,40.74245834350586,1,N,-73.98775482177734,40.766197204589844,1,14.0,0.5,0.5,3.75,0.0,0.0,18.75,0,0,,
2015-01-01,0,1,2015-01-01 00:01:35,2015-01-01 00:06:04,1,0.699999988079071,-73.98281860351562,40.75090026855469,1,N,-73.990966796875,40.75032043457031,2,5.5,0.5,0.5,0.0,0.0,0.0,6.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:36,2015-01-01 00:29:26,4,18.5,-73.78189086914062,40.644710540771484,5,N,-73.9910659790039,40.72893142700195,3,0.009999999776482582,0,0.0,0.0,5.329999923706055,0.0,5.639999866485596,0,0,,
2015-01-01,0,1,2015-01-01 00:01:36,2015-01-01 00:04:09,1,0.30000001192092896,-73.98323822021484,40.73067092895508,1,N,-73.98731994628906,40.73313522338867,1,3.5,0.5,0.5,0.949999988079071,0.0,0.0,5.75,0,0,,
2015-01-01,0,1,2015-01-01 00:01:36,2015-01-01 00:06:54,1,1.0,-73.99357604980469,40.72114181518555,1,N,-73.97856903076172,40.72086715698242,2,6.0,0.5,0.5,0.0,0.0,0.0,7.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:37,2015-01-01 00:07:28,1,1.2000000476837158,-73.95439147949219,40.82080841064453,1,N,-73.94121551513672,40.83395004272461,2,6.5,0.5,0.5,0.0,0.0,0.0,7.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:39,2015-01-01 00:07:22,1,1.7999999523162842,-73.96956634521484,40.7544059753418,1,N,-73.9830093383789,40.731563568115234,2,7.0,0.5,0.5,0.0,0.0,0.0,8.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:39,2015-01-01 00:29:44,1,20.299999237060547,-73.78219604492188,40.64457321166992,2,N,-73.9607162475586,40.79725646972656,2,52.0,0,0.5,0.0,5.329999923706055,0.0,58.12999725341797,0,0,,
2015-01-01,0,1,2015-01-01 00:01:39,2015-01-01 00:09:09,2,1.0,-73.99724578857422,40.719364166259766,1,N,-73.99251556396484,40.711727142333984,1,7.0,0.5,0.5,1.649999976158142,0.0,0.0,9.949999809265137,0,0,,
2015-01-01,0,1,2015-01-01 00:01:40,2015-01-01 00:07:18,2,1.5,-73.98816680908203,40.72352600097656,1,N,-73.97422790527344,40.74257278442383,1,6.5,0.5,0.5,1.5499999523162842,0.0,0.0,9.350000381469727,0,0,,
2015-01-01,0,1,2015-01-01 00:01:41,2015-01-01 00:05:33,1,0.699999988079071,-74.00292205810547,40.728126525878906,1,N,-74.005859375,40.736270904541016,2,5.0,0.5,0.5,0.0,0.0,0.0,6.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:42,2015-01-01 00:40:26,3,9.199999809265137,-73.96113586425781,40.714481353759766,1,N,-73.83351135253906,40.67280578613281,2,33.0,0.5,0.5,0.0,0.0,0.0,34.29999923706055,0,0,,
2015-01-01,0,1,2015-01-01 00:01:43,2015-01-01 00:22:48,2,2.5999999046325684,-74.00233459472656,40.73371887207031,1,N,-73.97404479980469,40.749053955078125,2,14.0,0.5,0.5,0.0,0.0,0.0,15.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:44,2015-01-01 00:20:46,2,6.900000095367432,-73.9876937866211,40.71049880981445,5,N,-74.03082275390625,40.74366760253906,1,65.0,0,0.0,13.050000190734863,0.0,0.0,78.35000610351562,0,0,,
2015-01-01,0,1,2015-01-01 00:01:45,2015-01-01 00:13:10,1,2.4000000953674316,-73.97884368896484,40.76195526123047,1,N,-73.97830963134766,40.780479431152344,1,10.5,0.5,0.5,2.3499999046325684,0.0,0.0,14.15000057220459,0,0,,
2015-01-01,0,1,2015-01-01 00:01:47,2015-01-01 00:12:37,1,3.5,-73.97209930419922,40.76200485229492,1,N,-73.93499755859375,40.79644775390625,1,11.699999809265137,0.5,0.5,1.0800000429153442,0.0,0.0,14.079999923706055,0,0,,
2015-01-01,0,1,2015-01-01 00:01:47,2015-01-01 00:09:25,1,1.2000000476837158,-73.978271484375,40.7526969909668,1,N,-55.95124816894531,49.834381103515625,2,7.0,0.5,0.5,0.0,0.0,0.0,8.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:48,2015-01-01 00:34:01,3,16.5,-73.998779296875,40.714054107666016,1,N,-73.7518539428711,40.75016403198242,2,45.0,0.5,0.5,0.0,0.0,0.0,46.29999923706055,0,0,,
